globalID,docID,annotID,text,label,supports
0,0,None,review9,None,None
1,0,None,1. Stärken,None,None
2,0,None,1.1,None,None
3,0,T1,. Klar verständliches Geschäftsmodel.,Claim,None
4,0,T2,"Es ist mir einmaligen Lesen verständlich, worum es geht.",Premise,T1
5,0,None,1.2,None,None
6,0,None,.,None,None
7,0,T3,Präzise ausgefülltes Business Model Canvas.,Claim,None
8,0,T4,Es sind alle notwendigen Punkte sauber und vollständig aufgeführt,Premise,T3
9,0,None,1.3,None,None
10,0,None,.,None,None
11,0,T5,"Schaffung eines Dienstes, welcher eine Vielzahl bestehender Dienstleistungen und Prozesse des eigenen Lebens digitalisiert und damit Standardisiert und Routinisiert.",Premise,T6
12,0,T6,Dadurch kann ein WellBeing beim Kunden erreicht werden.,Claim,None
13,0,T7,"Die Technik unterstützt den Nutzer, anstatt dass dieser die Prozess selbst aufwendig betreiben muss.",Premise,T6
14,0,None,2,None,None
15,0,None,. Schwächen  2.1.,None,None
16,0,T8,Das zu lösende Problem kann ggf. noch etwas stärker herausgestellt werden.,Claim,None
17,0,None,Vorschlag Explizit zu Beginn das Problem in 12 Sätzen hervorheben,None,None
18,0,None,2.2,None,None
19,0,None,.,None,None
20,0,T9,"Bei Key Ressources hätte man ggf. noch die Mitarbeiter, besonders aus der IT, erwähnen müssen, da diese eine essentiellen Grundbaustein für die Funktion des Dienstes darstellen.",Claim,None
20,0,T10,"Bei Key Ressources hätte man ggf. noch die Mitarbeiter, besonders aus der IT, erwähnen müssen, da diese eine essentiellen Grundbaustein für die Funktion des Dienstes darstellen.",Premise,T9
21,0,None,Vorschlag Mitarbeiter als Key Resource aufnehmen,None,None
22,0,None,2.3.,None,None
23,0,T11,"Es wären ggf. noch die Integration weiterer Produkte der Kunden möglich gewesen, wie z.B. Facebook.",Claim,None
24,0,T12,"Solche Dienste bieten eine nützliche Quelle verschiedenster Informationen zu Vorlieben veganer, nicht veganer.",Premise,T11
25,0,None,Vorschlag,None,None
26,0,None,Bei der Erwähnung von Vorlieben die Berücksichtung von bereits geäusserten Vorlieben integrieren  2.4.,None,None
27,0,T13,"Eine der Key Activities sollte meiner Meinung nach auch die Gewinnung von Neukunden darstellen, da diese essentiell für die Wertsteigerung der Plattform ist.",Claim,None
27,0,T14,"Eine der Key Activities sollte meiner Meinung nach auch die Gewinnung von Neukunden darstellen, da diese essentiell für die Wertsteigerung der Plattform ist.",Premise,T13
28,0,T15,Ohne Nutzer ist eine Plattform wertlos Netzwerkeffekt.,Premise,T13
29,0,None,Vorschlag Aufnahme der Neukundengewinnung in die Key Activites,None,None
30,1,None,"review10
Muttersprache",None,None
31,1,None,NICHT deutsch.,None,None
32,1,None,GeschäftsmodellIdeeStärkenDas,None,None
33,1,None,Geschäftsmodell ist klar und sehr ausführlich beschrieben.,None,None
34,1,T2,Die Idee ist innovativ und betrachtet den aktuellen und immer wichtiger werdenden Trend der Gesundheit und Fitness.,Claim,None
35,1,T3,Darüber hinaus ist der Ausgangspunkt dieser Innovation der Konsument was ein zentraler Aspekt einer WellBeing Lösung darstellt.,Claim,None
36,1,None,Persönlich finde ich diese Innovation genial und würde auf jeden Fall die PremiumVersion des Produktes kaufen.,None,None
37,1,T4,Die Vision einer intelligente und aufdringliche B2CAssistenzlösung WellBeing Lösung nach Österle/Sengers Ansicht wurde genau erarbeitet.,Claim,None
38,1,None,Die Vision eines KomfortWelt,None,None
39,1,None,"Wellbeing impliziert die Idee einer spontaner Assistenz durch Technologien, was bei Nutreno gegeben ist.",None,None
40,1,T6,"Weiter sehen Österle/Senger die intelligente Verknüpfung von Real und Informationswelt vor, die das Konsumieren und das Leben einfacher und bequemer machen soll 2011, S. 84.",Premise,T8
41,1,T8,"Zudem sprechen Österle/Senger von stillen Konsumentenprozesse, die den Konsumenten konsumieren lassen und ihm alles andere Administration etc. abnehmen 2011, S. 80.Alle diese Punkte werden bei dieser BusinessmodellIdee betrachtet und sind sehr gut behandelt.",Premise,T4
41,1,T7,"Zudem sprechen Österle/Senger von stillen Konsumentenprozesse, die den Konsumenten konsumieren lassen und ihm alles andere Administration etc. abnehmen 2011, S. 80.Alle diese Punkte werden bei dieser BusinessmodellIdee betrachtet und sind sehr gut behandelt.",Premise,T8
